hit_rate,miss_rate,outage_probability,noma_success_rate,sic_success_rate,cic_benefit_rate,avg_throughput,spectral_efficiency,energy_per_bit,total_requests,cache_hits,noma_transmissions,outages,cic_events,phase,policy,run,capacity,current_size,utilization,total_hits,total_misses,evictions,cic_opportunities,cic_rate,noma_paired_hits,noma_awareness_enabled,training_step,epsilon,eval_mode,avg_episode_reward,avg_loss,replay_buffer_size,use_neural_network,cic_count,sic_count,warm_up_steps,beta
0.63,0.37,0.10810810810810811,1.0,1.0,0.8918918918918919,7.0926211911906725,38.33849292535499,0.05216689148146742,200,126,37,8,74,eval,lru,20,,,,,,,,,,,,,,,,,,,,,
0.625,0.375,0.02631578947368421,1.0,1.0,0.9473684210526315,6.795842158584363,35.767590308338754,0.055916542958548865,200,125,38,2,74,eval,lru,21,,,,,,,,,,,,,,,,,,,,,
0.64,0.36,0.05555555555555555,1.0,1.0,0.9444444444444444,7.032960193026234,39.07200107236797,0.051187549782660505,200,128,36,4,72,eval,lru,22,,,,,,,,,,,,,,,,,,,,,
0.545,0.455,0.03260869565217391,1.0,1.0,0.9456521739130435,6.018959864774019,26.16939071640878,0.07642516486812803,200,109,46,3,90,eval,lru,23,,,,,,,,,,,,,,,,,,,,,
0.565,0.435,0.07954545454545454,1.0,1.0,0.8977272727272727,6.331591589496527,28.77996177043876,0.0694927955760627,200,113,44,7,86,eval,lru,24,,,,,,,,,,,,,,,,,,,,,
0.58,0.42,0.047619047619047616,1.0,1.0,0.9523809523809523,6.538681329683479,31.136577760397522,0.06423313491259118,200,116,42,4,84,eval,lru,25,,,,,,,,,,,,,,,,,,,,,
0.59,0.41,0.036585365853658534,1.0,1.0,0.9634146341463414,6.508415068998557,31.748366190236865,0.06299536763611578,200,118,41,3,82,eval,lru,26,,,,,,,,,,,,,,,,,,,,,
0.605,0.395,0.05,1.0,1.0,0.925,6.7072087616664735,33.536043808332366,0.05963732667545835,200,121,40,4,78,eval,lru,27,,,,,,,,,,,,,,,,,,,,,
0.605,0.395,0.0875,1.0,1.0,0.8875,6.726556063365328,33.63278031682664,0.0594657944172219,200,121,40,7,78,eval,lru,28,,,,,,,,,,,,,,,,,,,,,
0.65,0.35,0.08571428571428572,1.0,1.0,0.9142857142857143,6.962214722492463,39.784084128528356,0.050271359610509186,200,130,35,6,70,eval,lru,29,,,,,,,,,,,,,,,,,,,,,
0.655,0.345,0.08571428571428572,1.0,1.0,0.8857142857142857,7.13039226558578,40.74509866049017,0.04908565853932675,200,131,35,6,68,eval,lru,30,,,,,,,,,,,,,,,,,,,,,
